baslik,sarki_sozu
Seni Ben Unutmak İstemedim Ki,"Seni ben unutmak istemedim ki
Uzayan yollara neden inandın
Sevenler verdiği sözden döner mi?
O yalan yıllara neden inandın ?

Seni unutsaydım bekler miydim hiç?
Bir derdime bin dert ekler miydim hiç?
Şu sonsuz hasreti kalbime koyup
Bir ömür boyu ah çeker miydim hiç?

Bana sen uzaktan sitem ettikçe
Benim ümitlerim elimden tutmaz
O yalan sözlere sakın inanma
Seneler geçse de seven unutmaz"
Saçların Tarümâr,"Saçların tarümâr, gözlerinde nem
Ateşe benzerdin küle dönmüşsün
Hayal mi gerçek mi gördüğüm bilmem
Elden ele gezen güle dönmüşsün

Bir eser kamamış eski halinden
Yazık geçmez akçe, pula dönmüşsün
Hayâl mi gerçek mi gördüğüm bilmem
Elden ele gezen güle dönmüşsün"
Sazlar Çalınır,"Sazlar çalınır Çamlıca'nın bahçelerinde
Bülbül sesi var şarkıların nağmelerinde
Bir taze emel var şu kızın handelerinde
Bülbül sesi var şarkıların nağmelerinde"
Sarı Güller,"Unutmadım seni bir an / Bir alevsin kalpte yanan
Akıp duran zalim zaman / Söyler bizim şarkımızı 

Neydi canım ah o günler / Mehtap, sen ve sarı güller

Aşkla dolu yaşlı gözler / O günleri, seni özler
Kalbimizde kalan izler / Söyler bizim şarkımızı

Neydi canım ah o günler / Mehtap sen ve sarı güller

Kenetlenmiş aşık eller / Saçlarında ki gümüş teller
Çardaklarda sarı güller / Söyler bizim şarkımızı

Neydi canım ah o günler / Mehtap, sen ve sarı güller"
Sahilde O Hoş Buseleri Aldığım Akşam,"Sahilde o hoş buseleri aldığım akşam
Kalbim o dudaktan tutuşup yandığım akşam
Üç tel saçına hasta, kırık sazıma taktığım
Mızrap tutuşur aşkını her çaldığım akşam"
Senden Bilirim,"Senden bilirim yok bana bir faide ey gül
Gülyağını eller sürünür çatlasa bülbül
Etsemde abestir sitemi hare tehammül
Gülyağını eller sürünür çatlasa bülbül"
Seni Sordum Yıldızlara,"Mevsimlerden ilkbaharken gönüllere aşk dolarken
Sevenler bir eş ararken neden benden kaçıverdin
Seni sordum yıldızlara
Seni sordum yalnızlara
Seni sordum kuşlara uçan kuşlara 

Hani beni seviyordun yalnız benle gülüyordun
Yokluğumda özlüyordun neden benden bıkıverdin
Seni sordum yıldızlara
Seni sordum yalnızlara
Seni sordum kuşlara uçan kuşlara"
Sen Bu Yerden Gideli,"Sen bu yerden gideli ey saçı zer
Seni söyler bana dağlar dereler
Gayret-i âhım ile bâd inler
Seni söyler bana dağlar dereler"
Sarahaten Acaba Söylesem,"Sarahaten acaba söylesem darılmaz mı
Darılmak adeti bilmem ki çapkının naz mı
Desem ki ben seni...yok dinlemez ki hiddet eder
Niçin, bu sözlerde ne var sanki, hiddet etse ne der
Desem ki ben seni pek...ya kızar konuşmazsa
Derim bu çektiğim insaf edin eğer azsa
Desem ki ben seni pek çok...hayır kızar bilirim
Tereddüdüm acaba hiddetinden az mı elim
Desem ki ben seni pek çok...sakın gücenme emi
Sakın gücenme eğer anladınsa sevdiğimi"
Sen Kimseyi Sevemezsin,"Sen kimseyi sevemezsin, sevmeyeceksin
Rüzgarların önünde kuru bir yaprak gibi sürükleneceksin
Şefkat nedir, aşk nedir, ömrünce bilmeyeceksin
Rüzgarların önünde kuru bir yaprak gibi sürükleneceksin"
Sana Bilmem Ki Neden Hiç Doyamam,"Sana bilmem ki neden hiç doyamam
Seni yıllarca da sevsem doyamam
Seni bir yıl göremezsem yaşayamam
Seni yıllarca da sevsem doyamam"
Şu Gelen Atlı Mıdır,"Şu gelen atlı mıdır,yavrum sorun Bağdatlı mıdır
Her gelen yari sorar,yavrum yar bu kadar tatlı mıdır
Coştum yine dalgalanıyorum ben
Yeni yeni sevdalanıyorum ben

Şu gelen kimin kızı,yavrum yanakları kırmızı
Gerdanında beni var,yavrum sandım seher yıldızı
Coştum yine dalgalanıyorum ben
Yeni yeni sevdalanıyorum ben"
Şimdi Uzaklardasın,"Şimdi uzaklardasın gönül hicranla doldu
Hiç ayrılamam derken kavuşmak hayal oldu
Sevda bahçelerinin çiçekleri hep soldu
Hiç ayrılamam derken kavuşmak hayal oldu"
Şu Seven Kalbin Feryadını Duy,"Şu seven kalbin feryadını duy bir gece olsun
Ses ver ne olur tatlı sesinle acılar dursun
Larşımda senin gül renkli yüzün ay gibi doğsun
Güldür beni de, güldüğüm akşam son gecem olsun"
Şu Dağları Delmeli,"Şu dağları delmeli un edip elemeli
İçerim kan ağlıyor yarimi görmeyeli
Uyu demeye geldim yari görmeye geldim
Yavrum yaren nerende melhem olmaya geldim 

Şu dağın arkasından öldüm yar sevdasından
El edip çağırsaydı giderdim arkasından
Uyu demeye geldim yari görmeye geldim
Yavrum yaren nerende melhem olmaya geldim"
Şu Güzeller Güzeli,"Şu güzeller güzeli / Yar gibi geldi bana
Gözlerinde bir mana / Var gibi geldi bana

Bir münasip zamanda / Mesela saat onda
Buluşalım Kordon'da / Der gibi geldi bana

Gel benim gonca gülüm / Kalmadı tahammülüm
Sensiz hayat İzmirlim / Zor gibi geldi bana"
Şarkılardan Fal Tuttum,"Şarkılardan fal tuttum ikimize kaç kere
Sana bahar gül bülbül bana hep hasret düştü
Dua ettim kaç gece avuç açıp göklere
Sana neş'e mutluluk bana hep hasret düştü"
Şarab İç Gülfeminde Güller Açılsın,"Şarab iç gülfeminde güller açılsın
Bırak zülfün zerendüdun saçılsın
Utandır necmi giysudarı gökte
Bırak zülfün zerendüdun saçılsın"
Şarkılar Seni Söyler,"Şarkılar seni söyler, dillerde nağme adın
Aşk gibi, sevda gibi huysuz ve tatlı kadın
En güzel günlerini demek bensiz yaşadın
Aşk gibi, sevda gibi huysuz ve tatlı kadın"
Şu Dağlar Ulu Dağlar,"Şu dağlar ulu dağlar etekleri buz bağlar
Yarim gitti gurbete içim durmaz kan ağlar
Yüreğimde bu acı yok mu bunun ilacı
Giymek nasip olmadı bana evlilik tacı

Olmaz olsun bu gurbet,ben, buldu akıbet
Yardan haber getiren,bulsun Tanrıdan nimet
Yüreğimde bu acı yok mu bunun ilacı
Giymek nasip olmadı bana evlilik tacı"
Tadı Yok Sensiz Geçen,"Tadı yok sensiz geçen ne baharın ne yazın
Kalmadı tesellisine şarkının ne sazın
Sarıldım kadehlere derman olur diyerek
Kalmadı tesellisi ne şarkının ne sazın"
Tel Tel Taradım Zülfünü,"Tel tel taradım zülfünü
Tellerine gül bağladım
Ğöğsündeki gonca gülün
Yaprağına bel bağladım
Teneni tennennennenni yar
Yaprağına gül bağladım

Girdim bir gül bahçesine
Gül topladım bohçasına
Mail oldum lehçesine
Divan durup el bağladım
Teneni tennennennenni yar
Yaprağına gül bağladım"
Tac Olsan Başıma Takmayacağım,"Tac olsan başıma takmayacağım
Gözümde nur olsan bakmayacağım
Yoluna adaklar yakmayacağım
Tövbeler tövbesi

Derdine göğsümü germeyeceğim
Bağrımı yoluna sermeyeceğim
Rüyamda sana yer vermeyeceğim
Tövbeler tövbesi

Sinemde kor olsan yanmayacağım
Bin yemin etsen de kanmayacağım
Seni hiç bir zaman anmayacağım
Tövbeler tövbesi

Kahretsen bana dön demeyeceğim
Ecel ol sana baş eğmeyeceğim
Ve senden başka da sevmeyeceğim
Tövbeler tövbesi"
Tanrım Beni Baştan Yarat,"Gülmeyecek bu yüzü
Neden verdin bana yarab
Ya birazcık neşe ver
Ya beni baştan yarat

Hep terketti sevdiklerim
Paramparça dünyam benim

Baştan yarat ellerimi
Baştan yarat gözlerimi
Baştan yaz şu kaderimi
Yarab beni baştan yarat

Sende kaldı dileklerim
Paramparça dünyam benim

Yaktın bağrımda közleri
Dinlettin acı sözleri
Verdin bu ağlar gözleri
Yarab beni baştan yarat

Boşa gitti emeklerim
Paramparça dünyam benim

Sabır taşı yaptın beni
Her belaya kattın beni
Ne yapayım böyle beni
Tanrım beni baştan yarat

Hep terketti sevdiklerim
Paramparça dünyam benim"
Tez Geçse De,"Tez geçse de her sevgide bin hatıra vardır
Sevda denilen şey yaşanan hatıralardır
Sevmek te sevilmek te bahar ömrü kadardır
Sevda denilen şey yaşanan hatıralardır"
Telgrafın Telleri,"Telgrafın tellerine kuşlar mı konar
Herkes sevdiğine yavrum böyle mi yanar
Yanıma gel yanıma da yâr yanıbaşıma
Şu gençlikte neler geldi cahil başıma

Telgrafın tellerini arşınlamalı
Yar üstüne yar seveni kurşunlamalı
Yanıma gel yanıma da yâr yanıbaşıma
Şu gençlikte neler geldi cahil başıma

Telgrafın direkleri semaya bakar
O senin mahrum bakışın çok canlar yakar
Yanıma gel yanıma da yâr yanıbaşıma
Şu gençlikte neler geldi cahil başıma"
Unuturum Diye Yorma Kendini,"Unuturum diye yorma kendini
Her sevenle beni bir tutamazsın
Bu kadar yürekten sevmişken seni
Öyle kolay değil, unutamazsın

Yıllar sonra birgün seni anarsam
Kulakların değil, kalbin çınlasın
Ardından bakıp da öylece kalan
Gözlerimde donmuş iki damlasın

Ahımın rüzgari üşütür seni
Benden başkasına ısınamazsın
Yorgun şarkılarda anarsın beni
Öyle kolay değil, unutamazsın

Yıllar sonra birgün beni anarsan
Kulakların değil, kalbin çınlasın
Ardından bakıp da öylece kalan
Gözlerimde donmuş iki damlasın"
Unutturamaz Seni Hiç Bir Şey,"Unutturamaz seni hiç bir şey unutulsam da ben
Her yerde sen, her şeyde sen, bilmem ki nasıl söylesem
Bir sisli hazan kesilir ruhum eğer görmesem
Neşem de sen, hüznüm de sen, bilmem ki nasıl söylesem"
Unutmadım Seni Ben,"Unutmadım seni ben unutmadım her zaman kalbimdesin
Aylar yıllar geçti söyle sen nerdesin
Anlaşıldı sen geri dönülmeyen yerdesin
Anlaşıldı sen geri dönmeyeceksin
Unutmadım unutamadım seni ben her zaman bendesin"
Ufacıktın Tefeciktin,"Ufacıktın tefeciktin
Yemyeşil, yemyeşil gözlerin vardı
Aşkı inkar edişinde bile
Bir güzellik bir zerafet bir incelik vardı
Ufacıktın tefeciktin sevgilim
Sende bir başkalık vardı
Bir bahar günüydü
Bıraktın ellerimi
Dedin ki artık elveda
Elveda, elveda sevgilim sana elveda
Sebep dedim, gülümsedin
Dedim ki, aşkından daha güzel hasretin
Ne zaman bahar gelse
Sen gelirsin aklıma
Yeşil gözlerin gelir, aşkı inkarın gelir
Ufacıktın tefeciktin sevgilim
Sende bir başkalık vardı"
Uyur Daim Uyanmazdı,"Uyur daim uyanmazdı benim bahtı siyehkarım
Arar bulmazdı asla habı rahat çeşmi bidarım
Açıldı goncai matlub yine şenlendi gülzarım
Arar bulmazdı asla habı rahat çeşmi bidarım"
Üsküdar'a Gider İken,"Üsküdar'a gider iken aldı da bir yağmur
Katibimin setresi uzun, eteği çamur
Katip uykudan uyanmış, gözleri mahmur
Katip benim, ben katibin, el ne karışır
Katibime kolalı da gömlek ne güzel yaraşır

Üsküdar'a gider iken bir mendil buldum
Mendilimin içine lokum doldurdum
Katibimi arar iken yanımda buldum
Katip benim, ben katibin, el ne karışır
Katibime kolalı da gömlek ne güzel yaraşır"
Üzüldüğün Şeye Bak,"Aşk rüyadır çok zaman
Olduğu gibi bırak
Tek sen misin ayrılan
Üzüldüğün şeye bak 

Bakıp bakıp resmine türkü yakıp ismine
Dert ekleyip derdine üzüldüğün şeye bak 

Olmasada çok güzel
Sevgisi bana yeter
Yok yok deyip bir haber
Üzüldüğün şeye bak 

Bakıp bakıp resmine türkü yakıp ismine
Dert ekleyip derdine üzüldüğün şeye bak 

Belki güzel bir peri
Yok mu onun benzeri
Dert etmeye değer mi
Üzüldüğün şeye bak"
Vücud İkliminin Sultanısın Sen,"Vücud ikliminin sultanısın sen
Efendim derdimin dermanısın sen
Bu cismi natüvanın canısın sen
Efendim derdimin dermanısın sen"
Veda,"Hani o bırakıp giderken seni
Bu öksüz tavrını takmayacaktın
Alnına koyarken veda buseni
Yüzüme bu türlü bakmayacaktın 

Gelse de en acı sözler dilime
Uçacak sanırım bir kaç kelime
Bir alev halinde düştün elime
Hani ey gözyaşım akmayacaktın"
Vardar Ovası,"Mayadağdan kalkan kazlar
Al topuklu beyaz kızlar
Yarimin yüreği sızlar
Eğlenemem aldanamam
Ben bu yerlerde duramam
Vardar ovası Vardar ovası
Kazanamadım sıla parası 

Mayadağın yıldızıyım
Ben annemin bir kızıyım
Efendimin sağ gözüyüm
Eğlenemem aldanamam
Ben bu yerlerde duramam
Vardar ovası Vardar ovası
Kazanamadım sıla parası"
Viran Olan Kalbimde,"Viran olan kalbimde sevgilimi özlerim
Şu gönlümün kahrını sen çekersin gözlerim
Sende duydum aşkımı yine sende gizlerim
Şu gönlümün kahrını sen çekersin gözlerim"
Yüreğime Gömdüm Seni,"Yüreğime gömdüm seni / Mazi oldu her hatıran
Unut artık sen de beni / Yak ne varsa benden kalan

Ne mektubun, resmim kalsın
Ne gül dudak ismim ansın
Gözün bir an ufka dalsın
Yak ne varsa benden kalan

Son resmimi seyret bir an / Gülecektim sana inan
Son defa öp yanağımdan / Yak ne varsa benden kalan"
Yangın Olur Biz Yangına Gideriz,"Yangın olur biz yangına gideriz
Düz ovada keklik gibi sekeriz
Yokuşlarda şahin gibi uçarız
Sandık sandıklar içinde çok şanımız var
Hazret-i Mevlâya yalvarmamız var"
Yine Bu Yıl Ada Sensiz İçime Sinmedi,"Yine bu yıl ada sensiz içime sinmedi
Dilde yalnız dolaşdım hep gözyaşlarım dinmedi
Bende şaştım nasıl oldu yüreğime inmedi
Dilde yalnız dolaşdım hep gözyaşlarım dinmedi"
Yürü Dilber Yürü,"Yürü dilber yürü ömrümün vârı
Eridi kalmadı dağların karı / aman
Aman aman sürmelim aman
Günde onbeş kere gördüğüm yârı
Aylar yıllar geçti de göremez oldum aman
Aman aman sürmelim aman
Hey hey / kaşlar kara gözler ela
Üveyk de gözlere ben yandım
Aman aman sürmelim aman
Şu dağın başında bir top kar idim
Yağmur yağdı, güneş vurdu eridim / aman
Aman aman sürmelim aman
Evvel yârın sevgilisi ben idim
Şimdi uzaklardan bakan ben oldum / aman
Aman aman sürmelim aman
Hey hey / kaşlar kara gözler ela
Üveyk de gözlere ben yandım
Aman aman sürmelim aman"
Yollarına Gül Döktüm,"Yollarına gül döktüm gelir de geçer diye
Geçmedin boynum büktüm başka yar seçer diye
Menekşe,lale,hanımeli,güzel huyun yoktur bedeli
Sana gönül verdim vereli sararıp soldum aman

Aşkı içtim elinle,kalbim doldu seninle
Geçti ömrüm derdinle benden vazgeçer diye
Menekşe,lale,hanımeli,güzel huyun yoktur bedeli
Sana gönül verdim vereli sararıp soldum aman"
Yemeni Bağlamış Telli Başına,"Yemeni bağlamış telli başına / Zülüfleri düşmüş hilal kaşına
Henüz girmiş onüç-ondört yaşına / Edalı, işveli köylü güzeli

Gel seni, köylü kız, alıp kaçayım / Telli duvağına altın saçayım
Seni bu diyardan alıp kaçayım / Gözleri sürmeli köylü güzeli"
Yalan Yalan Değil,"Yalan yalan değil pek kolay olmayacak unutmak
Öyle zor öyle zor ki seni içimden atmak
İstemem o günahkar ellerini bir daha
Ellerime alıpta ne öpmek ne okşamak
Öyle zor öyle zor ki seni içimden atmak"
Yemin Ettim Bir Kere,"Yemin ettim bir kere dönmem geri, bunu bil
Hatırandan ismimi, hayalinden beni sil
Çok ağlattın beni sen, aşkım oyuncak değil
Hatırandan ismimi, hayalinden beni sil"
Yıllardır Bekliyorum,"Yıllardır bekliyorum, bir gün dönersin diye
Neden bağlandı gönül vefasız sevgiliye
Kalbimdeki aşkını hayalimle süsledim
İnana bana güzelim seni candan özledim

Çoktandır hasretinle inliyor dertli gönül
Izdırapla mı geçsin böylece benim ömrüm
Kalbimdeki aşkını hayalimle süsledim
İnana bana güzelim seni candan özledim"
Yıllar Ne Çabuk,"Yıllar ne çabuk geçti o günler arasından
Bir tel saç onun kaldı bütün hatırasından
Hâlâ duyarım bin sızı her yarasından
Bir tel onun kaldı bütün hatırasından"
Yıldızlı Semalardaki Haşmet,"Yıldızlı semalardaki haşmet ne güzel şey
Mehtaba dalıp yar ile sohbet ne güzel şey
Dünyamızın üstünde bütün ruhlar uyurken
Dünyada senin aşıgın olmak ne saadet
Bir bitmeyecek aşkı muhabbet ne güzel şey
Yıldızların altında ibadet ne güzel şey"
Zeytin Gözlüm,"Zeytin gözlüm sana meylim nedendir
Bu sevmenin kabahati kimdedir
Gül olmuşsun dikenlerin bendedir
Zeytin gözlüm uzaklarda işin ne
Şarkıları düşürürüm peşine

Zeytin gözlüm özlem ektim yollara
Rast gelirsen halimi sor onlara
Gül kurusu akşamlar senden yana
Zeytin gözlüm uzaklarda işin ne
Şarkıları düşürürüm peşine"
